o_reward: 0.50, reward: 0.50, Epoch: 41    , params: 0.72, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 49.37   , genotype: [[6, [1, 1, 4, 4], [3, 1, 3, 5], [0, 2, 0, 5]], [[3, 3], [1, 4], [4, 1]]]
o_reward: 0.43, reward: 0.43, Epoch: 42    , params: 0.84, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 33.26   , genotype: [[6, [0, 1, 1, 2], [0, 4, 6, 5], [0, 7, 2, 3]], [[3, 0], [0, 2], [4, 2]]]
o_reward: 0.53, reward: 0.53, Epoch: 43    , params: 0.57, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 53.42   , genotype: [[6, [0, 0, 9, 9], [2, 0, 8, 2], [3, 1, 10, 5]], [[0, 2], [1, 1], [5, 2]]]
o_reward: 0.53, reward: 0.53, Epoch: 44    , params: 0.60, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 98.49   , genotype: [[9, [1, 0, 4, 5], [3, 0, 0, 3], [0, 0, 4, 5]], [[3, 0], [1, 0], [1, 5]]]
o_reward: 0.59, reward: 0.59, Epoch: 45    , params: 0.82, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 59.35   , genotype: [[3, [1, 1, 1, 3], [0, 1, 6, 6], [1, 2, 6, 9]], [[3, 2], [0, 4], [3, 1]]]
o_reward: 0.59, reward: 0.59, Epoch: 46    , params: 0.69, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 48.37   , genotype: [[6, [0, 0, 3, 2], [3, 0, 10, 9], [4, 5, 5, 1]], [[0, 2], [2, 2], [5, 2]]]
o_reward: 0.54, reward: 0.54, Epoch: 47    , params: 0.82, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 67.80   , genotype: [[6, [1, 0, 10, 6], [0, 4, 6, 1], [4, 0, 8, 8]], [[3, 1], [1, 4], [3, 0]]]
o_reward: 0.59, reward: 0.59, Epoch: 48    , params: 0.70, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 35.24   , genotype: [[5, [0, 0, 0, 7], [3, 0, 10, 5], [1, 5, 6, 2]], [[3, 2], [4, 2], [3, 4]]]
o_reward: 0.53, reward: 0.53, Epoch: 49    , params: 0.40, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 30.63   , genotype: [[2, [1, 1, 8, 2], [4, 2, 8, 7], [7, 2, 0, 0]], [[2, 3], [4, 4], [2, 3]]]
o_reward: 0.29, reward: 0.29, Epoch: 50    , params: 0.39, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 41.10   , genotype: [[8, [1, 1, 2, 10], [3, 3, 8, 2], [3, 4, 4, 4]], [[3, 3], [0, 4], [4, 2]]]
o_reward: 0.54, reward: 0.54, Epoch: 51    , params: 0.61, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 53.37   , genotype: [[5, [0, 0, 8, 0], [3, 3, 3, 3], [0, 2, 6, 9]], [[3, 0], [3, 2], [3, 1]]]
o_reward: 0.61, reward: 0.61, Epoch: 52    , params: 0.60, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 35.76   , genotype: [[9, [0, 0, 1, 3], [3, 4, 8, 5], [0, 5, 4, 0]], [[2, 3], [4, 3], [3, 1]]]
o_reward: 0.34, reward: 0.34, Epoch: 53    , params: 0.51, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 66.37   , genotype: [[4, [1, 1, 10, 8], [1, 3, 5, 3], [5, 4, 8, 3]], [[1, 0], [0, 1], [3, 1]]]
